Product,Total_Revenue,Total_Quantity,Total_Invoices,Avg_UnitPrice
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1884.17,2095,199,0.8802
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,732.4200000000001,824,99,0.8976767676767677
3 ROSE MORRIS BOXED CANDLES,1800.0,1129,158,2.2984848484848484
3 STRIPEY MICE FELTCRAFT,5907.84,3021,468,2.2756779661016946
3 TIER CAKE TIN GREEN AND CREAM,6981.67,445,201,18.59910891089109
3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,17.272142857142857
3 TIER SWEETHEART GARDEN SHELF,1938.2500000000002,55,43,35.67093023255814
3 TRADITIONAL COOKIE CUTTERS  SET,304.20000000000005,162,4,2.0375
3 TRADITIONAl BISCUIT CUTTERS  SET,2606.4100000000003,1209,232,2.3547210300429184
3 WHITE CHOC MORRIS BOXED CANDLES,1637.07,946,121,2.765934959349593
3 WICK CHRISTMAS BRIAR CANDLE ,15.97,3,2,6.11
36 DOILIES DOLLY GIRL,1347.8899999999999,911,90,1.7153333333333334
36 DOILIES VINTAGE CHRISTMAS,7060.28,5171,177,1.5787570621468927
36 FOIL HEART CAKE CASES,3983.3900000000003,2050,198,2.225273631840796
36 FOIL STAR CAKE CASES ,2053.3500000000004,1040,134,2.3133823529411766
36 PENCILS TUBE POSY,76.91,79,20,1.061
36 PENCILS TUBE RED RETROSPOT,4723.7300000000005,3734,325,1.5887384615384617
36 PENCILS TUBE SKULLS,2395.05,1795,263,1.6181954887218044
36 PENCILS TUBE WOODLAND,2328.64,1739,185,1.5118279569892472
3D CHRISTMAS STAMPS STICKERS ,1536.24,1172,143,1.5102083333333334
3D DOG PICTURE PLAYING CARDS,1016.72,338,86,3.274137931034483
3D HEARTS  HONEYCOMB PAPER GARLAND,1021.9000000000001,326,50,3.834705882352941
3D SHEET OF CAT STICKERS,255.61999999999998,260,75,1.1855263157894735
3D SHEET OF DOG STICKERS,423.99,426,116,1.2454310344827586
3D TRADITIONAL CHRISTMAS STICKERS,2095.08,1583,197,1.5160696517412937
3D VINTAGE CHRISTMAS STICKERS ,2162.75,1645,188,1.5677894736842104
4 BLUE DINNER CANDLES SILVER FLOCK,226.67,87,31,2.7054838709677416
4 BURGUNDY WINE DINNER CANDLES,57.46,45,13,1.343076923076923
4 GOLD FLOCK CHRISTMAS BALLS,6.72,2,1,3.36
4 IVORY DINNER CANDLES SILVER FLOCK,1205.64,538,136,2.5973381294964026
4 LAVENDER BOTANICAL DINNER CANDLES,1347.92,891,135,2.023623188405797
4 LILY  BOTANICAL DINNER CANDLES,1009.26,525,102,2.438653846153846
4 PEAR BOTANICAL DINNER CANDLES,1288.34,822,138,1.964507042253521
4 PINK DINNER CANDLE SILVER FLOCK,259.71999999999997,130,35,2.642857142857143
4 PINK FLOCK CHRISTMAS BALLS,88.47,49,22,2.2954545454545454
4 ROSE PINK DINNER CANDLES,276.59,184,44,2.071818181818182
4 SKY BLUE DINNER CANDLES,297.91,150,62,2.209516129032258
4 TRADITIONAL SPINNING TOPS,6782.21,4889,483,1.6602857142857141
4 VANILLA BOTANICAL CANDLES,1476.4,974,164,1.9874545454545456
4 WILDFLOWER BOTANICAL CANDLES,768.37,404,91,2.4651546391752577
5 HOOK HANGER MAGIC TOADSTOOL,994.3799999999999,640,34,1.9782352941176469
5 HOOK HANGER RED MAGIC TOADSTOOL,4751.639999999999,3098,131,1.9261654135338346
5 STRAND GLASS NECKLACE AMBER,37.620000000000005,6,6,6.2700000000000005
5 STRAND GLASS NECKLACE AMETHYST,56.59,9,8,6.28
5 STRAND GLASS NECKLACE BLACK,69.63,11,6,6.3133333333333335
5 STRAND GLASS NECKLACE CRYSTAL,120.28999999999999,19,10,6.32
50'S CHRISTMAS PAPER GIFT BAG,1100.6899999999998,1342,103,0.9369902912621358
50CM METAL STRING WITH  7 CLIPS,171.79,225,23,1.0608695652173912
6 CHOCOLATE LOVE HEART T-LIGHTS,2171.26,1061,142,2.542191780821918
6 EGG HOUSE PAINTED WOOD,2726.43,299,155,9.944580645161292
6 GIFT TAGS 50'S CHRISTMAS ,3429.3999999999996,3740,322,0.9722121212121212
6 GIFT TAGS VINTAGE CHRISTMAS ,3510.0499999999997,4007,327,0.9988519637462235
6 RIBBONS ELEGANT CHRISTMAS ,2489.0299999999997,1773,200,1.774009900990099
6 RIBBONS EMPIRE  ,1667.8799999999999,1259,225,1.611858407079646
6 RIBBONS RUSTIC CHARM,17186.62,9172,955,2.211237113402062
6 RIBBONS SHIMMERING PINKS ,1239.6699999999998,1402,199,1.40095
6 ROCKET BALLOONS ,1293.22,1898,197,0.7724875621890548
60 CAKE CASES DOLLY GIRL DESIGN,3990.2000000000003,7481,437,0.6748868778280543
60 CAKE CASES VINTAGE CHRISTMAS,9498.87,16032,618,0.7650158227848102
60 GOLD AND SILVER FAIRY CAKE CASES,1.1,2,2,0.55
60 TEATIME FAIRY CAKE CASES,9169.970000000001,18189,828,0.689585308056872
6PC WOOD PLATE SET DISPOSABLE,574.88,459,38,1.9131578947368422
70'S ALPHABET WALL ART,1043.1,150,15,7.986
72 CAKE CASES VINTAGE CHRISTMAS,13.200000000000001,24,1,0.55
72 SWEETHEART FAIRY CAKE CASES,6532.780000000001,13319,615,0.6851746031746032
75 BLACK PETIT FOUR CASES,24.36,58,18,0.42
75 GREEN FAIRY CAKE CASES,102.36,69,42,1.4642857142857142
75 GREEN PETIT FOUR CASES,186.25,375,74,0.6477027027027027
A PRETTY THANK YOU CARD,194.58,456,35,0.5208333333333334
A4 WALL TIDY BLUE OFFICE,80.96000000000001,127,12,1.0875000000000001
A4 WALL TIDY RED FLOWERS,7.37,13,4,0.56
ABC TREASURE BOOK BOX ,4693.08,2165,226,2.663215859030837
ABSTRACT CIRCLE JOURNAL ,447.25,184,72,2.4995833333333333
ABSTRACT CIRCLES POCKET BOOK,135.15,159,42,0.85
ABSTRACT CIRCLES SKETCHBOOK ,603.3100000000001,142,76,4.66961038961039
ACRYLIC GEOMETRIC LAMP,568.65,35,20,17.94857142857143
"ACRYLIC HANGING JEWEL,BLUE",106.05,268,24,0.5359259259259259
"ACRYLIC HANGING JEWEL,PINK",66.55,95,7,0.5042857142857143
"ACRYLIC JEWEL ANGEL,PINK",29.64,78,2,0.38
"ACRYLIC JEWEL ICICLE, BLUE",11.780000000000001,31,3,0.38000000000000006
"ACRYLIC JEWEL ICICLE, PINK",105.83,263,19,0.69
"ACRYLIC JEWEL SNOWFLAKE, PINK",63.28000000000001,162,5,0.724
"ACRYLIC JEWEL SNOWFLAKE,PINK",15.299999999999999,6,1,2.55
ADULT APRON APPLE DELIGHT,945.88,184,45,6.362
ADVENT CALENDAR GINGHAM SACK,6848.1900000000005,1311,246,5.728536585365854
AFGHAN SLIPPER SOCK PAIR,1690.5500000000002,519,22,3.4272727272727277
AGED GLASS SILVER T-LIGHT HOLDER,6859.27,10535,340,0.8200289017341041
AIRLINE BAG VINTAGE JET SET BROWN,1626.54,346,167,5.227005988023952
AIRLINE BAG VINTAGE JET SET RED,2427.52,546,223,4.770178571428572
AIRLINE BAG VINTAGE JET SET WHITE,1133.2,252,122,4.723548387096774
AIRLINE BAG VINTAGE TOKYO 78,5072.32,1086,392,5.208936708860759
AIRLINE BAG VINTAGE WORLD CHAMPION ,1289.49,279,147,5.0018918918918915
"AIRLINE LOUNGE,METAL SIGN",1408.07,711,291,2.007216494845361
ALARM CLOCK BAKELIKE CHOCOLATE,8153.6,1980,428,4.783640552995392
ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,4.54201213346815
ALARM CLOCK BAKELIKE IVORY,11453.4,2885,570,4.418076923076923
ALARM CLOCK BAKELIKE ORANGE,9068.95,2323,445,4.514446902654867
ALARM CLOCK BAKELIKE PINK,20672.15,5356,783,4.579835651074589
ALARM CLOCK BAKELIKE RED ,30644.87,7800,1051,4.396880301602262
ALPHABET HEARTS STICKER SHEET,350.08,397,59,1.0294915254237287
ALPHABET STENCIL CRAFT,3057.27,2697,186,1.3571505376344086
ALUMINIUM HEART,74.7,30,6,2.49
ALUMINIUM STAMPED HEART,1892.2300000000002,779,130,2.589848484848485
AMAZON FEE,13761.09,2,2,6880.545
AMBER 3 BEAD DROP EARRINGS,23.2,8,8,2.9
AMBER BERTIE GLASS BEAD BAG CHARM,21.05,11,10,1.9419999999999997
AMBER BERTIE MOBILE PHONE CHARM,6.58,2,1,3.29
AMBER CHUNKY BEAD BRACELET W STRAP,117.73,13,9,9.103333333333332
AMBER CHUNKY GLASS+BEAD NECKLACE,95.25,8,8,11.90625
AMBER CRYSTAL DROP EARRINGS,8.76,3,3,2.92
AMBER DIAMANTE EXPANDABLE RING,131.03,31,13,4.202307692307692
AMBER DROP EARRINGS W LONG BEADS,117.24000000000001,40,23,2.9213043478260867
AMBER FINE BEAD NECKLACE W TASSEL,35.31,6,5,5.872
AMBER GLASS TASSLE BAG CHARM,33.440000000000005,14,7,2.0157142857142856
AMBER GLASS/SHELL/PEARL NECKLACE,64.04,7,7,9.14857142857143
AMBER GLASS/SILVER BRACELET,227.89,25,16,9.098125
AMETHYST 3 BEAD DROP EARRINGS,14.5,5,5,2.9
AMETHYST CHUNKY BEAD BRACELET W STR,297.94,33,21,9.054285714285713
AMETHYST DIAMANTE EXPANDABLE RING,97.02,23,12,4.19
AMETHYST DROP EARRINGS W LONG BEADS,61.08,21,17,2.9105882352941173
AMETHYST GLASS/SHELL/PEARL NECKLACE,137.63,15,14,9.177142857142858
AMETHYST HOOP EARRING FLORAL LEAF,32.16,11,9,2.9233333333333333
ANGEL DECORATION 3 BUTTONS ,1636.67,3745,162,0.5443373493975904
ANGEL DECORATION PAINTED ZINC ,574.5400000000001,912,77,0.7082051282051283
ANGEL DECORATION STARS ON DRESS,1109.05,2593,131,0.5472058823529412
ANGEL DECORATION WITH LACE PADDED,180.2,212,11,0.85
ANIMAL STICKERS,367.29,1749,46,0.21
ANIMALS AND NATURE WALL ART,923.97,267,17,3.6958823529411764
ANT COPPER LIME BOUDICCA BRACELET,412.74,83,50,4.986000000000001
ANT COPPER PINK BOUDICCA BRACELET,318.89000000000004,64,34,4.997941176470588
ANT COPPER RED BOUDICCA BRACELET,119.91000000000001,24,21,5.002857142857143
ANT COPPER TURQ BOUDICCA BRACELET,377.88,76,37,4.984594594594594
ANT SILVER FUSCHIA BOUDICCA RING,41.300000000000004,14,7,2.95
ANT SILVER LIME GREEN BOUDICCA RING,79.65,27,10,2.95
ANT SILVER PURPLE BOUDICCA RING,29.500000000000004,10,5,2.95
ANT SILVER TURQUOISE BOUDICCA RING,17.700000000000003,6,1,2.95
ANT WHITE WIRE HEART SPIRAL,1519.63,339,104,5.688076923076922
ANTIQUE ALL GLASS CANDLESTICK,2614.05,1169,199,2.3111940298507463
ANTIQUE CREAM CUTLERY CUPBOARD,530.19,50,36,11.344722222222224
ANTIQUE CREAM CUTLERY SHELF ,254.98000000000002,29,19,8.946315789473683
ANTIQUE GLASS DRESSING TABLE POT,5561.3,1798,267,3.781310861423221
ANTIQUE GLASS HEART DECORATION ,707.23,327,36,2.474736842105263
ANTIQUE GLASS PEDESTAL BOWL,4203.89,1027,220,4.729107142857143
ANTIQUE GLASS PLACE SETTING,152.5,122,8,1.25
ANTIQUE HEART SHELF UNIT,4145.47,275,74,17.8127027027027
ANTIQUE IVORY WIRE BOWL SMALL,251.45000000000002,99,21,2.7252380952380952
ANTIQUE MID BLUE FLOWER EARRINGS,21.15,5,3,4.216666666666667
ANTIQUE OLIVE GREEN FLOWER EARRINGS,29.73,7,5,4.246
ANTIQUE OPAL WHITE FLOWER EARRINGS,21.130000000000003,5,5,4.226000000000001
ANTIQUE RASPBERRY FLOWER EARRINGS,20.950000000000003,5,4,4.175000000000001
ANTIQUE SILVER BAUBLE LAMP  ,3583.23,376,78,10.834999999999999
ANTIQUE SILVER BOOK MARK WITH BEADS,14.11,17,3,0.83
ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689,1.5028468208092487
ANTIQUE SILVER TEA GLASS ENGRAVED,10229.77,8652,347,1.471534090909091
ANTIQUE SILVER TEA GLASS ETCHED,6461.76,4545,216,1.6190909090909091
ANTIQUE TALL SWIRLGLASS TRINKET POT,3560.74,870,203,4.955615763546798
APOTHECARY MEASURING JAR,826.28,67,22,12.759545454545453
APPLE BATH SPONGE,1911.17,1336,229,1.8230172413793104
APRON APPLE DELIGHT,1446.79,285,80,5.82925
APRON MODERN VINTAGE COTTON,1139.86,492,90,2.9795555555555553
AQUA BERTIE GLASS BEAD BAG CHARM,48.06,30,12,2.0741666666666667
AREA PATROLLED METAL SIGN,8858.79,4365,437,2.3959453302961276
ARMY CAMO BOOKCOVER TAPE,7.14,17,4,0.42
"ART LIGHTS,FUNK MONKEY",1037.54,370,62,3.553809523809524
ASS COL CIRCLE MOBILE ,173.15999999999997,474,6,0.4114285714285714
ASS COL LARGE SAND FROG P'WEIGHT,28.35,27,7,1.05
ASS COL SMALL SAND GECKO P'WEIGHT,11.34,27,9,0.42
ASS COLOUR GLOWING TIARAS,215.21,281,25,0.8719230769230768
ASS DES PHONE SPONGE CRAFT STICKER,153.09,509,14,0.465
ASS FLORAL PRINT MULTI SCREWDRIVER,1254.1200000000001,2734,163,0.5077976190476191
ASS FLORAL PRINT SPIRIT LEVEL ,110.86,100,37,1.4994999999999998
ASSORTED BOTTLE TOP  MAGNETS ,1406.42,3152,184,1.1675135135135135
ASSORTED CAKES FRIDGE MAGNETS,35.75,55,8,0.65
ASSORTED CHEESE FRIDGE MAGNETS,180.71,223,18,0.9811111111111112
ASSORTED CIRCULAR MOBILE,154.77,693,33,0.4285294117647059
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,1.7225745257452574
ASSORTED COLOUR LIZARD SUCTION HOOK,393.0,994,55,0.4160655737704918
ASSORTED COLOUR METAL CAT ,138.75,111,25,1.25
ASSORTED COLOUR MINI CASES,12550.57,1762,383,8.065298701298701
ASSORTED COLOUR SILK GLASSES CASE,6.300000000000001,3,1,2.1
ASSORTED COLOUR SUCTION CUP HOOK,37.24,196,13,0.19
ASSORTED COLOUR T-LIGHT HOLDER,2297.03,3619,120,0.8163636363636364
ASSORTED COLOURED CIRCLE MOBILE ,26.88,64,7,0.42
ASSORTED COLOURS SILK FAN,18569.84,23826,518,1.0677649325626204
ASSORTED CREEPY CRAWLIES,1107.07,2621,99,0.46950495049504953
ASSORTED EASTER DECORATIONS  BELLS,729.57,569,27,3.9481481481481477
ASSORTED EASTER GIFT TAGS,965.8599999999999,1145,61,1.338360655737705
ASSORTED FARMYARD ANIMALS IN BUCKET,74.58,90,9,1.0866666666666667
"ASSORTED FLOWER COLOUR ""LEIS""",4934.87,10315,111,0.8927927927927929
ASSORTED INCENSE PACK,760.3199999999999,4032,27,0.20259259259259257
ASSORTED LAQUERED INCENSE HOLDERS,455.9800000000001,2545,24,0.3025
ASSORTED MINI MADRAS NOTEBOOK,481.95,976,28,0.8446428571428571
ASSORTED MONKEY SUCTION CUP HOOK,246.18,617,45,0.41625
ASSORTED SANSKRIT MINI NOTEBOOK,136.25,109,6,1.25
ASSORTED SHAPES PHOTO CLIP SILVER ,238.60999999999999,469,12,0.635625
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,633.8299999999999,650,78,1.138452380952381
ASSORTED TUTTI FRUTTI BRACELET,692.85,2550,132,0.5017985611510791
ASSORTED TUTTI FRUTTI HEART BOX,268.75,215,32,1.25
ASSORTED TUTTI FRUTTI KEYRING BALL,451.59,1153,49,1.0971428571428572
ASSORTED TUTTI FRUTTI LARGE PURSE,224.70000000000002,107,25,2.1
ASSORTED TUTTI FRUTTI MIRROR,743.31,550,60,1.8401666666666665
ASSORTED TUTTI FRUTTI NOTEBOOK,547.76,247,40,2.56675
ASSORTED TUTTI FRUTTI PEN,830.7299999999999,2471,101,0.4958252427184466
ASSORTED TUTTI FRUTTI SMALL PURSE,982.79,729,66,1.878939393939394
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,218.87,459,13,1.3415384615384613
ASSTD DESIGN 3D PAPER STICKERS,389.38,1162,31,0.5578787878787879
ASSTD DESIGN BUBBLE GUM RING,3.5700000000000003,17,4,0.21
ASSTD DESIGN RACING CAR PEN,2389.44,1615,113,1.89
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,637.5600000000001,2412,65,0.2896923076923077
ASSTD MULTICOLOUR CIRCLES MUG,840.0799999999999,1578,81,1.6527710843373495
ASSTD RASTA KEY-CHAINS,3.7800000000000002,9,3,0.42
Adjust bad debt,11062.06,1,1,11062.06
BABUSHKA LIGHTS STRING OF 10,3633.17,517,153,8.304117647058824
BABY BOOM RIBBONS ,477.34,378,88,1.2898901098901099
BABY MOUSE RED GINGHAM DRESS,310.25,73,21,4.25
BAG 125g SWIRLY MARBLES,3528.89,9390,294,0.495738255033557
BAG 250g SWIRLY MARBLES,4039.2799999999997,5144,248,1.0033734939759036
BAG 500g SWIRLY MARBLES,1462.1699999999998,1459,141,1.8397902097902097
BAG OF SILVER STONES,89.52999999999999,130,13,0.6746153846153846
BAKING MOULD CHOCOLATE CUP CAKES,30.599999999999998,12,2,2.55
BAKING MOULD CHOCOLATE CUPCAKES,2502.04,948,157,2.928509316770186
BAKING MOULD CUPCAKE CHOCOLATE,30.599999999999998,12,1,2.55
BAKING MOULD EASTER EGG MILK CHOC,2585.92,940,122,3.48869918699187
BAKING MOULD EASTER EGG WHITE CHOC,1707.47,589,78,3.2253846153846157
BAKING MOULD HEART MILK CHOCOLATE,2846.8,1108,189,3.073350785340314
BAKING MOULD HEART WHITE CHOCOLATE,1963.3,813,129,2.8299999999999996
BAKING MOULD ROSE MILK CHOCOLATE,2066.82,690,65,3.8047692307692307
BAKING MOULD ROSE WHITE CHOCOLATE,895.97,279,50,4.326153846153846
BAKING MOULD TOFFEE CUP  CHOCOLATE,15.299999999999999,6,1,2.55
BAKING MOULD TOFFEE CUP CHOCOLATE,1985.5800000000002,878,71,2.7107042253521123
BAKING SET 9 PIECE RETROSPOT ,24185.27,4937,934,5.353144989339019
BAKING SET SPACEBOY DESIGN,10745.050000000001,2209,464,5.468758029978586
BALLOON ART MAKE YOUR OWN FLOWERS,1034.9,1009,98,1.7488
BALLOON PUMP WITH 10 BALLOONS,1570.41,793,124,2.126451612903226
BALLOON WATER BOMB PACK OF 35,2375.04,6010,154,0.4556050955414013
BALLOONS  WRITING SET ,2410.43,1337,346,2.2488218390804597
BANK ACCOUNT  GREETING  CARD ,132.44,318,38,0.47526315789473683
BANQUET BIRTHDAY  CARD  ,712.08,1644,160,0.57325
BAROQUE BUTTERFLY EARRINGS BLACK,7.5,2,2,3.75
BAROQUE BUTTERFLY EARRINGS CRYSTAL,14.96,4,4,3.74
BAROQUE BUTTERFLY EARRINGS MONTANA,3.73,1,1,3.73
BAROQUE BUTTERFLY EARRINGS PINK,11.19,3,3,3.73
BAROQUE BUTTERFLY EARRINGS RED,3.73,1,1,3.73
BASKET OF FLOWERS SEWING KIT,644.2099999999999,812,63,1.04
BASKET OF TOADSTOOLS,1767.15,1430,130,1.5737404580152672
BATH BUILDING BLOCK WORD,5006.26,809,270,6.620036900369003
BATHROOM HOOK,157.5,146,27,1.5964285714285713
BATHROOM METAL SIGN,3473.21,5881,631,0.8306466876971609
BATHROOM METAL SIGN ,613.14,438,73,1.7678082191780824
BATHROOM SCALES FOOTPRINTS IN SAND,172.05,51,20,3.6700000000000004
BATHROOM SCALES RUBBER DUCKS,146.85,43,21,3.673809523809524
"BATHROOM SCALES, TROPICAL BEACH",67.5,18,12,3.75
BATHROOM SET LOVE HEART DESIGN,237.98000000000002,82,14,3.1242857142857146
BEACH HUT DESIGN BLACKBOARD,203.07,41,15,6.171333333333333
BEACH HUT KEY CABINET,177.33,34,21,5.938571428571429
BEACH HUT MIRROR,66.39,49,8,2.9525
BEACH HUT SHELF W 3 DRAWERS,504.43,81,31,7.804193548387097
BEADED CHANDELIER T-LIGHT HOLDER,1420.97,695,38,4.771578947368421
BEADED CRYSTAL HEART BLUE  LARGE,437.22,482,46,1.077659574468085
BEADED CRYSTAL HEART BLUE ON STICK,178.85,193,50,0.8714
BEADED CRYSTAL HEART BLUE SMALL,107.31,80,15,1.7373333333333332
BEADED CRYSTAL HEART GREEN LARGE,760.4300000000001,834,62,1.382741935483871
BEADED CRYSTAL HEART GREEN ON STICK,521.11,623,172,0.8377906976744186
BEADED CRYSTAL HEART GREEN SMALL,168.59,119,31,1.9122580645161291
BEADED CRYSTAL HEART PINK LARGE,569.29,565,62,1.5017460317460318
BEADED CRYSTAL HEART PINK ON STICK,725.26,850,206,0.8429126213592232
BEADED CRYSTAL HEART PINK SMALL,342.74,207,65,1.9433846153846153
BEADED LOVE HEART JEWELLERY SET,8.5,10,1,0.85
BEADED PEARL HEART WHITE LARGE,127.04999999999998,77,10,1.65
BEADED PEARL HEART WHITE ON STICK,901.48,996,119,0.9148739495798318
BELL HEART ANTIQUE GOLD,24.96,12,1,2.08
BELL HEART DECORATION,387.0,252,9,1.6277777777777775
BELLE JARDINIERE CUSHION COVER,3257.08,748,210,4.915592417061611
BEST DAD CANDLE LETTERS,26.349999999999998,31,8,0.85
BEWARE OF THE CAT METAL SIGN ,6935.7,4154,449,2.156901098901099
BICYCLE PUNCTURE REPAIR KIT ,3881.91,1863,116,2.2640650406504066
BICYCLE SAFTEY WALL ART,2371.94,458,39,5.782307692307692
BIG DOUGHNUT FRIDGE MAGNETS,2334.94,1726,198,3.95715
BIG POLKADOT MUG,2.34,6,1,0.39
BILI NUT AND WOOD NECKLACE,59.89,50,7,2.412857142857143
BINGO SET,6659.54,1688,378,4.72473544973545
BIRD BOX CHRISTMAS TREE DECORATION,22.06,24,6,1.087142857142857
BIRD DECORATION GREEN POLKADOT,747.81,820,139,1.1363309352517985
BIRD DECORATION RED RETROSPOT,860.93,893,132,1.2836363636363637
BIRD HOUSE HOT WATER BOTTLE,4912.14,1172,279,4.051458333333333
BIRD ON BRANCH CANVAS SCREEN,21.45,11,1,1.95
BIRDCAGE DECORATION TEALIGHT HOLDER,761.57,643,67,1.236231884057971
BIRDHOUSE DECORATION MAGIC GARDEN,889.49,712,137,1.529136690647482
BIRDHOUSE GARDEN MARKER ,2210.62,1537,140,1.7830000000000001
BIRDS MOBILE VINTAGE DESIGN,1147.27,189,73,6.261232876712329
BIRTHDAY BANNER TAPE,30.0,24,1,1.25
BIRTHDAY BANQUET GIFT WRAP,393.5,975,32,0.4175
"BIRTHDAY CARD, RETRO SPOT",1104.81,2608,270,0.4670740740740741
BIRTHDAY PARTY CORDON BARRIER TAPE,617.11,478,97,1.3616326530612244
BISCUIT TIN 50'S CHRISTMAS,6681.25,2194,309,3.2880906148867313
BISCUIT TIN VINTAGE CHRISTMAS,5079.78,1722,277,3.3792086330935254
BISCUIT TIN VINTAGE GREEN,2904.52,450,126,7.27
BISCUIT TIN VINTAGE LEAF,64.56,24,3,2.7566666666666664
BISCUIT TIN VINTAGE RED,3823.21,589,162,7.2198765432098755
BISCUITS SMALL BOWL LIGHT BLUE,631.8399999999999,1255,173,0.7160115606936416
BLACK 3 BEAD DROP EARRINGS,40.96,14,9,2.9122222222222223
BLACK AND WHITE CAT BOWL,2684.6499999999996,1363,49,2.037755102040816
BLACK AND WHITE DOG BOWL,2602.18,1196,52,2.634807692307693
BLACK BAROQUE CARRIAGE CLOCK,432.78999999999996,51,35,8.475142857142856
BLACK BAROQUE WALL CLOCK ,783.68,84,36,12.721666666666668
BLACK BIRD GARDEN DESIGN MUG,62.239999999999995,106,16,1.366470588235294
BLACK CANDELABRA T-LIGHT HOLDER,1106.88,941,89,1.4657777777777776
BLACK CHAMPAGNE GLASS,626.55,1529,35,0.498
